pitch,time_start,duration,beat_type,string,position,finger
71,150,30,32th,N/A,N/A,N/A
73,180,30,32th,N/A,N/A,N/A
69,210,30,32th,N/A,N/A,N/A
71,240,120,32th,N/A,N/A,N/A
68,270,30,32th,N/A,N/A,N/A
69,300,30,32th,N/A,N/A,N/A
66,330,30,32th,N/A,N/A,N/A
63,360,30,32th,N/A,N/A,N/A
59,390,30,32th,N/A,N/A,N/A
63,420,30,32th,N/A,N/A,N/A
66,450,30,32th,N/A,N/A,N/A
69,0,30,32th,N/A,N/A,N/A
71,30,30,32th,N/A,N/A,N/A
75,60,30,32th,N/A,N/A,N/A
78,90,30,32th,N/A,N/A,N/A
81,120,30,32th,N/A,N/A,N/A
78,150,30,32th,N/A,N/A,N/A
75,180,30,32th,N/A,N/A,N/A
71,210,30,32th,N/A,N/A,N/A
69,240,30,32th,N/A,N/A,N/A
68,270,30,32th,N/A,N/A,N/A
66,300,30,32th,N/A,N/A,N/A
68,330,30,32th,N/A,N/A,N/A
69,360,30,32th,N/A,N/A,N/A
73,390,30,32th,N/A,N/A,N/A
71,420,30,32th,N/A,N/A,N/A
63,450,30,32th,N/A,N/A,N/A
64,0,30,8th,N/A,N/A,N/A
64,120,30,8th,N/A,N/A,N/A
64,240,30,16th,N/A,N/A,N/A
65,279,30,16th,N/A,N/A,N/A
64,320,30,16th,N/A,N/A,N/A
62,360,30,16th,N/A,N/A,N/A
60,399,30,16th,N/A,N/A,N/A
62,440,30,16th,N/A,N/A,N/A
64,0,30,4th,N/A,N/A,N/A
64,240,30,16th,N/A,N/A,N/A
65,279,30,16th,N/A,N/A,N/A
64,320,30,16th,N/A,N/A,N/A
62,360,30,16th,N/A,N/A,N/A
60,399,30,16th,N/A,N/A,N/A
62,440,30,16th,N/A,N/A,N/A
64,0,30,2th,N/A,N/A,N/A
64,0,30,8th,N/A,N/A,N/A
62,180,120,32th,N/A,N/A,N/A
60,199,120,32th,N/A,N/A,N/A
64,220,40,32th,N/A,N/A,N/A
62,240,40,8th,N/A,N/A,N/A
60,420,40,32th,N/A,N/A,N/A
59,440,40,32th,N/A,N/A,N/A
62,459,40,32th,N/A,N/A,N/A
60,0,40,8th,N/A,N/A,N/A
59,180,240,32th,N/A,N/A,N/A
57,199,40,32th,N/A,N/A,N/A
60,220,40,32th,N/A,N/A,N/A
59,240,40,8th,N/A,N/A,N/A
57,420,40,32th,N/A,N/A,N/A
56,440,40,32th,N/A,N/A,N/A
59,459,40,32th,N/A,N/A,N/A
57,0,480,4th,N/A,N/A,N/A
88,240,180,16th,N/A,N/A,N/A
89,240,20,16th,N/A,N/A,N/A
88,240,20,8th,N/A,N/A,N/A
87,320,20,8th,N/A,N/A,N/A
88,399,180,8th,N/A,N/A,N/A
86,0,20,8th,N/A,N/A,N/A
84,160,20,8th,N/A,N/A,N/A
84,240,20,4th,N/A,N/A,N/A
83,399,180,8th,N/A,N/A,N/A
83,0,20,4th,N/A,N/A,N/A
81,160,20,8th,N/A,N/A,N/A
81,240,20,16th,N/A,N/A,N/A
83,240,180,16th,N/A,N/A,N/A
81,240,20,8th,N/A,N/A,N/A
80,320,20,8th,N/A,N/A,N/A
81,399,20,8th,N/A,N/A,N/A
79,0,360,8th,N/A,N/A,N/A
77,160,120,8th,N/A,N/A,N/A
77,240,240,4th,N/A,N/A,N/A
76,399,720,8th,N/A,N/A,N/A
76,0,720,4th,N/A,N/A,N/A
76,160,240,8th,N/A,N/A,N/A
74,160,120,8th,N/A,N/A,N/A
74,240,0,8th,N/A,N/A,N/A
73,320,0,8th,N/A,N/A,N/A
74,399,120,8th,N/A,N/A,N/A
72,0,120,8th,N/A,N/A,N/A
70,160,120,8th,N/A,N/A,N/A
70,240,120,4th,N/A,N/A,N/A
