sound_num,pitch,string,position,finger
107,56,g,1,1
108,71,a,1,1
109,72,a,1,2
110,74,a,1,3
111,64,d,1,1
112,74,a,1,3
113,72,a,1,2
114,71,a,1,1
115,72,a,1,2
116,71,a,1,1
117,69,d,1,4
118,71,a,1,1
119,72,a,1,2
120,77,e,1,1
121,76,a,1,4
122,74,a,1,3
123,72,a,1,2
124,71,a,1,1
125,69,d,1,4
126,67,d,1,3
127,69,d,1,4
128,71,a,1,1
129,76,a,1,4
130,74,a,1,3
131,72,a,1,2
132,71,a,1,1
133,69,d,1,4
134,67,d,1,3
135,65,d,1,2
136,67,d,1,3
137,69,d,1,4
138,62,g,1,4
139,72,a,1,2
140,71,a,1,1
141,69,d,1,4
142,68,d,1,3
143,66,d,1,2
144,64,d,1,1
145,66,d,1,2
146,68,d,1,3
147,69,d,1,4
148,71,a,1,1
149,72,a,1,2
150,74,a,1,3
151,76,a,1,4
152,77,e,1,1
153,76,a,1,4
154,74,a,1,3
155,72,a,1,2
156,71,a,1,1
157,69,d,1,4
158,80,e,1,2
159,81,e,1,3
160,83,e,1,4
161,81,e,1,3
162,80,e,1,2
163,78,e,1,1
164,76,a,1,4
165,74,a,1,3
166,72,a,1,2
167,74,a,1,3
168,76,a,1,4
169,77,e,1,1
170,81,e,1,3
171,71,a,1,1
172,72,a,1,2
173,74,a,1,3
174,76,a,1,4
175,79,e,1,2
176,69,d,1,4
177,71,a,1,1
178,72,a,1,2
179,74,a,1,3
180,77,e,1,1
181,67,d,1,3
182,69,d,1,4
183,71,a,1,1
184,72,a,1,2
185,76,a,1,4
186,65,d,1,2
187,67,d,1,3
188,69,d,1,4
189,71,a,1,1
190,74,a,1,3
191,64,d,1,1
192,66,d,1,2
193,68,d,1,3
194,69,d,1,4
195,72,a,1,2
196,62,g,1,4
197,61,g,1,3
198,62,g,1,4
199,65,d,1,2
200,70,a,1,1
201,72,a,1,2
202,74,a,1,3
203,70,a,1,1
204,65,d,1,2
205,64,d,1,1
206,65,d,1,2
207,70,a,1,1
208,74,a,1,3
209,76,a,1,4
210,77,e,1,1
211,74,a,1,3
212,70,a,1,1
213,69,d,1,4
214,70,a,1,1
215,74,a,1,3
216,77,e,1,1
217,79,e,1,2
218,81,e,1,3
219,82,e,1,3
220,81,e,1,3
221,80,e,1,2
222,83,e,1,4
223,81,e,1,3
224,80,e,1,2
225,77,e,1,1
226,76,a,1,4
227,74,a,1,3
228,77,e,1,1
229,76,a,1,4
230,74,a,1,3
231,71,a,1,1
232,69,d,1,4
233,68,d,1,3
234,71,a,1,1
235,76,a,1,4
236,80,e,1,2
237,83,e,1,4
238,76,a,1,4
239,86,e,3,4
240,84,e,3,3
241,83,e,1,4
242,84,e,2,4
243,83,e,1,4
244,81,e,1,3
245,80,e,1,2
246,81,e,1,3
247,72,a,1,2
248,74,a,1,3
249,76,a,1,4
250,74,a,1,3
251,72,a,1,2
252,71,a,1,1
253,69,d,1,4
254,71,a,1,1
255,73,a,1,2
256,74,a,1,3
257,76,a,1,4
258,67,d,1,3
259,65,d,1,2
260,62,g,1,4
261,65,d,1,2
262,69,d,1,4
263,74,a,1,3
264,77,e,1,1
265,80,e,1,2
266,62,g,1,4
267,81,e,1,3
268,64,d,1,1
269,76,a,1,4
270,77,e,1,1
271,76,a,1,4
272,74,a,1,3
273,73,a,1,2
274,71,a,1,1
275,69,d,1,4
276,67,d,1,3
277,69,d,1,4
278,70,a,1,1
279,69,d,1,4
